c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 15:45:21
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo161   p1-10   0.0 ProducWkLA0                             
   gu16    all  13336.47
   gu21    all  20147.05
   gu22    all  4379.261
   gu23    all  6192.261
   gu24    all  14597.44
   gu25    all   55188.5
a matrix=mo166   p1-31   0.0 ProducWkHA1                             
   gu01    all  4700.934
   gu02    all  13717.51
   gu05    all  16936.32
   gu06    all  19429.48
   gu07    all  8048.623
   gu08    all   3483.73
   gu09    all  22772.62
   gu10    all  6821.893
   gu11    all  7657.869
   gu12    all  11423.81
   gu13    all  2481.486
   gu14    all    6142.9
   gu16    all  7535.017
   gu21    all  17582.14
   gu22    all  1289.348
   gu23    all  5611.328
   gu24    all  13341.64
   gu25    all  32567.68
a matrix=mo167   p1-12   0.0 ProducWkLA2                             
   gu01    all  453.0357
   gu02    all  1647.674
   gu05    all  6152.044
   gu06    all  3218.695
   gu07    all  7873.219
   gu08    all  758.4142
   gu09    all  12564.35
   gu10    all  1377.301
   gu11    all  918.7248
   gu12    all   1347.82
   gu13    all  1020.248
   gu14    all  7403.814
   gu16    all  1392.562
   gu21    all  149.1579
   gu22    all   356.458
   gu23    all  430.7528
   gu24    all  2229.339
   gu25    all  6464.739
a matrix=mo168   p1-22   0.0 ProducWkMA2                             
   gu01    all  2864.262
   gu02    all     10921
   gu05    all  27824.39
   gu06    all  17978.94
   gu07    all  26119.75
   gu08    all  5050.993
   gu09    all  70622.85
   gu10    all  8737.599
   gu11    all  6676.363
   gu12    all  10094.24
   gu13    all  6125.903
   gu14    all  33179.93
   gu16    all  7478.427
   gu21    all  2161.883
   gu22    all  1191.921
   gu23    all  2691.032
   gu24    all   11226.8
   gu25    all  34968.42
a matrix=mo169   p1-32   0.0 ProducWkHA2                             
   gu01    all  4505.402
   gu02    all  15251.36
   gu05    all  21508.22
   gu06    all  17506.75
   gu07    all  17019.44
   gu08    all    7282.3
   gu09    all   45504.7
   gu10    all  12164.11
   gu11    all  5265.582
   gu12    all  7673.132
   gu13    all  3448.216
   gu14    all  16722.46
   gu16    all  6262.818
   gu21    all  4900.803
   gu22    all  776.1782
   gu23    all  4001.504
   gu24    all  16475.29
   gu25    all  29904.97
a matrix=mo170   p1-13   0.0 ProducWkLA3+                            
   gu01    all  118.4202
   gu02    all  672.9819
   gu05    all  1428.496
   gu06    all  2477.358
   gu07    all  2462.064
   gu08    all  216.1911
   gu09    all  4369.954
   gu10    all   342.013
   gu11    all  1046.195
   gu12    all  763.9237
   gu13    all  336.8791
   gu14    all  3075.387
   gu16    all  275.5723
   gu21    all  7.857362
   gu22    all  50.66461
   gu23    all  68.68155
   gu24    all  535.8306
   gu25    all  1659.573
a matrix=mo171   p1-23   0.0 ProducWkMA3+                            
   gu01    all  870.0088
   gu02    all   5503.48
   gu05    all  7144.356
   gu06    all  14295.43
   gu07    all   9114.89
   gu08    all  1895.098
   gu09    all   27842.4
   gu10    all  2871.479
   gu11    all  8052.594
   gu12    all  8301.236
   gu13    all  2190.055
   gu14    all  15686.48
   gu16    all  1528.486
   gu21    all  126.3301
   gu22    all  169.9326
   gu23    all  456.9655
   gu24    all  3053.079
   gu25    all  9351.003
a matrix=mo172   p1-33   0.0 ProducWkHA3+                            
   gu01    all  2110.182
   gu02    all  10531.55
   gu05    all  7543.755
   gu06    all  21706.13
   gu07    all  9221.504
   gu08    all  4152.847
   gu09    all  24611.73
   gu10    all  5482.805
   gu11    all  9776.437
   gu12    all  9609.946
   gu13    all  1930.918
   gu14    all  12447.07
   gu16    all  1695.516
   gu21    all  340.5744
   gu22    all  133.7259
   gu23    all  892.0822
   gu24    all  5508.016
   gu25    all  10237.14
a matrix=mo173   p8-10   0.0 ProducNwLA0                             
   gu01    all  165.9479
   gu02    all  687.9421
   gu05    all  2453.496
   gu06    all  594.4374
   gu07    all  944.9679
   gu08    all  136.3845
   gu09    all  874.0305
   gu10    all  124.5203
   gu11    all  198.5305
   gu12    all   398.439
   gu13    all   71.4548
   gu14    all  739.3282
   gu16    all  890.5625
   gu21    all  8484.275
   gu22    all  2056.634
   gu23    all  699.6789
   gu24    all   1204.48
   gu25    all  4909.311
a matrix=mo174   p8-20   0.0 ProducNwMA0                             
   gu01    all  99.01449
   gu02    all  658.8927
   gu05    all  1957.569
   gu06    all  563.3453
   gu07    all  690.0404
   gu08    all  148.7472
   gu09    all  810.7465
   gu10    all  185.3326
   gu11    all  182.9558
   gu12    all  588.1631
   gu13    all  66.37281
   gu14    all  585.9582
   gu16    all  903.1524
   gu21    all  7494.866
   gu22    all  824.4867
   gu23    all  681.7061
   gu24    all  933.1183
   gu25    all  4106.042
a matrix=mo175   p8-30   0.0 ProducNwHA0                             
   gu01    all  126.5585
   gu02    all  567.1334
   gu05    all  1105.022
   gu06    all  295.9322
   gu07    all  340.5789
   gu08    all  91.48245
   gu09    all  387.0717
   gu10    all  111.9476
   gu11    all  94.76259
   gu12    all  311.3941
   gu13    all  36.58362
   gu14    all  204.5575
   gu16    all  516.2325
   gu21    all  6188.304
   gu22    all  223.0876
   gu23    all  620.3026
   gu24    all   869.937
   gu25    all  2717.599
a matrix=mo176   p8-11   0.0 ProducNwLA1                             
   gu01    all  759.9942
   gu02    all  1835.096
   gu05    all  5328.042
   gu06    all  2767.916
   gu07    all  4080.852
   gu08    all  658.7281
   gu09    all  4033.943
   gu10    all  528.7501
   gu11    all  1037.921
   gu12    all   1882.84
   gu13    all  353.2017
   gu14    all  3306.328
   gu16    all  1746.447
   gu21    all  4388.014
   gu22    all  1520.218
   gu23    all  732.8235
   gu24    all  2199.725
   gu25    all  7288.165
a matrix=mo177   p8-21   0.0 ProducNwMA1                             
   gu01    all  987.3552
   gu02    all  3679.299
   gu05    all   9147.27
   gu06    all  5993.697
   gu07    all  6301.242
   gu08    all  1581.732
   gu09    all  8448.814
   gu10    all  1887.677
   gu11    all  2207.009
   gu12    all  6774.968
   gu13    all  770.2551
   gu14    all  6027.496
   gu16    all  3871.196
   gu21    all  12113.48
   gu22    all  1667.715
   gu23    all  1530.309
   gu24    all  3547.831
   gu25    all  13175.02
a matrix=mo178   p8-31   0.0 ProducNwHA1                             
   gu01    all  2887.534
   gu02    all  6674.425
   gu05    all  9707.692
   gu06    all  6234.038
   gu07    all  6220.116
   gu08    all  1957.767
   gu09    all   8121.28
   gu10    all  2288.433
   gu11    all  2271.509
   gu12    all  7179.158
   gu13    all  859.8276
   gu14    all  4217.372
   gu16    all  4427.089
   gu21    all  20457.06
   gu22    all  911.9456
   gu23    all  3074.629
   gu24    all  7175.056
   gu25    all  16949.75
a matrix=mo179   p8-12   0.0 ProducNwLA2                             
   gu01    all  279.0849
   gu02    all  777.1373
   gu05    all  2854.357
   gu06    all  979.9909
   gu07    all    3601.7
   gu08    all  507.8766
   gu09    all  3093.349
   gu10    all  307.1613
   gu11    all  303.2116
   gu12    all  450.5595
   gu13    all  203.5661
   gu14    all  3370.418
   gu16    all  653.2457
   gu21    all  268.7396
   gu22    all  243.9114
   gu23    all   201.128
   gu24    all   1032.08
   gu25    all  2860.533
a matrix=mo180   p8-22   0.0 ProducNwMA2                             
   gu01    all  500.0879
   gu02    all  2243.971
   gu05    all  7137.347
   gu06    all  3162.536
   gu07    all  7856.591
   gu08    all  1979.088
   gu09    all  10008.57
   gu10    all  2093.599
   gu11    all  917.9042
   gu12    all  2717.838
   gu13    all   629.761
   gu14    all  9285.704
   gu16    all  1971.085
   gu21    all  1198.828
   gu22    all   370.281
   gu23    all  597.1622
   gu24    all  2432.373
   gu25    all  7381.169
a matrix=mo181   p8-32   0.0 ProducNwHA2                             
   gu01    all  2864.169
   gu02    all  7706.758
   gu05    all  12701.66
   gu06    all  5797.983
   gu07    all  13052.58
   gu08    all  4131.098
   gu09    all  16521.33
   gu10    all  4269.048
   gu11    all  1633.394
   gu12    all  4932.304
   gu13    all  1238.495
   gu14    all  11703.85
   gu16    all  3809.887
   gu21    all  5889.749
   gu22    all  619.0939
   gu23    all  2227.089
   gu24    all  9115.598
   gu25    all  15869.46
a matrix=mo182   p8-13   0.0 ProducNwLA3+                            
   gu01    all  64.87874
   gu02    all  272.2974
   gu05    all   551.913
   gu06    all  632.5109
   gu07    all  930.8937
   gu08    all  127.4853
   gu09    all  886.3725
   gu10    all  69.98023
   gu11    all  298.3555
   gu12    all  230.3184
   gu13    all  56.82236
   gu14    all  1164.127
   gu16    all  108.3216
   gu21    all   12.9542
   gu22    all  25.23604
   gu23    all  27.05558
   gu24    all  209.0468
   gu25    all  591.5013
a matrix=mo183   p8-23   0.0 ProducNwMA3+                            
   gu01    all  127.6973
   gu02    all  918.8274
   gu05    all  1497.508
   gu06    all  2104.523
   gu07    all  2208.179
   gu08    all  610.3022
   gu09    all  3201.655
   gu10    all  587.2713
   gu11    all  951.1109
   gu12    all  1873.177
   gu13    all  190.6616
   gu14    all  3599.366
   gu16    all  331.1947
   gu21    all  60.77547
   gu22    all  38.83648
   gu23    all  81.37663
   gu24    all  532.2312
   gu25    all  1581.504
a matrix=mo184   p8-33   0.0 ProducNwHA3+                            
   gu01    all  1154.443
   gu02    all  4471.733
   gu05    all  3674.395
   gu06    all  5947.014
   gu07    all  5697.091
   gu08    all  1934.842
   gu09    all  7346.824
   gu10    all  1668.877
   gu11    all   2570.55
   gu12    all  5173.988
   gu13    all  586.6157
   gu14    all  7121.611
   gu16    all  860.3145
   gu21    all   367.505
   gu22    all   79.3037
   gu23    all  420.0339
   gu24    all  2594.984
   gu25    all   4433.16
a matrix=mo185   p2-10   0.0 ProducUvLA0                             
   gu01    all  66.63304
   gu02    all  646.4584
   gu05    all  2414.643
   gu06    all  725.0132
   gu07    all  726.1294
   gu08    all  159.5541
   gu09    all  1292.849
   gu10    all  62.11052
   gu11    all  88.99318
   gu12    all   334.174
   gu13    all  41.93001
   gu14    all  232.3466
   gu16    all  722.2052
   gu21    all  2540.258
   gu22    all   1086.22
   gu23    all  788.5218
   gu24    all  1590.825
   gu25    all  5787.222
a matrix=mo186   p2-20   0.0 ProducUvMA0                             
   gu01    all  21.67738
   gu02    all  176.9259
   gu05    all   484.845
   gu06    all  187.2621
   gu07    all  131.4091
   gu08    all  40.63156
   gu09    all  366.3456
   gu10    all  41.56771
   gu11    all  44.14148
   gu12    all  126.3685
   gu13    all  21.03728
   gu14    all  107.8887
   gu16    all  181.0591
   gu21    all  556.5285
   gu22    all  100.2214
   gu23    all  205.3163
   gu24    all  314.6568
   gu25    all  1288.742
a matrix=mo187   p2-30   0.0 ProducUvHA0                             
   gu01    all  25.46995
   gu02    all  48.32278
   gu05    all  80.00566
   gu06    all  32.05676
   gu07    all  21.71435
   gu08    all  8.427492
   gu09    all  56.44948
   gu10    all  17.59261
   gu11    all   17.1093
   gu12    all  21.22453
   gu13    all  9.001598
   gu14    all  27.42099
   gu16    all  27.27152
   gu21    all  127.1137
   gu22    all  12.36468
   gu23    all  67.02105
   gu24    all  120.4276
   gu25    all  307.8915
a matrix=mo188   p2-11   0.0 ProducUvLA1                             
   gu01    all   410.134
   gu02    all  1851.067
   gu05    all  5562.768
   gu06    all   3480.41
   gu07    all  3287.927
   gu08    all  750.5902
   gu09    all  6111.375
   gu10    all   341.346
   gu11    all  608.3333
   gu12    all   1530.68
   gu13    all  256.6281
   gu14    all  1298.123
   gu16    all  1498.556
   gu21    all  1456.339
   gu22    all  965.6736
   gu23    all  913.0934
   gu24    all  3257.599
   gu25    all  9669.043
a matrix=mo189   p2-21   0.0 ProducUvMA1                             
   gu01    all  259.3866
   gu02    all  1151.892
   gu05    all  2769.645
   gu06    all  2270.055
   gu07    all  1359.337
   gu08    all  469.9211
   gu09    all  4280.506
   gu10    all  542.0286
   gu11    all  692.8902
   gu12    all  1649.646
   gu13    all  302.8642
   gu14    all  1412.718
   gu16    all  912.2439
   gu21    all   1102.02
   gu22    all  254.2777
   gu23    all  497.5127
   gu24    all  1364.417
   gu25    all  5143.143
a matrix=mo190   p2-31   0.0 ProducUvHA1                             
   gu01    all   775.765
   gu02    all  801.2704
   gu05    all  960.0797
   gu06    all  857.7066
   gu07    all  495.2207
   gu08    all  217.8968
   gu09    all  1463.579
   gu10    all  484.9721
   gu11    all  539.9608
   gu12    all  601.3596
   gu13    all   266.824
   gu14    all  719.8695
   gu16    all  311.1574
   gu21    all   540.237
   gu22    all  61.43433
   gu23    all  464.7812
   gu24    all  1408.328
   gu25    all  2751.369
a matrix=mo191   p2-12   0.0 ProducUvLA2                             
   gu01    all  155.9828
   gu02    all  706.0717
   gu05    all  2635.863
   gu06    all  1126.048
   gu07    all  2525.441
   gu08    all  477.1969
   gu09    all  4696.183
   gu10    all  193.2946
   gu11    all  178.3775
   gu12    all  324.3851
   gu13    all  147.2544
   gu14    all  1335.333
   gu16    all  514.3786
   gu21    all  69.35967
   gu22    all  148.4253
   gu23    all   227.213
   gu24    all  1297.015
   gu25    all  3220.917
a matrix=mo192   p2-22   0.0 ProducUvMA2                             
   gu01    all  170.1463
   gu02    all  1058.204
   gu05    all   3314.58
   gu06    all   1814.64
   gu07    all  2624.089
   gu08    all  872.3571
   gu09    all  7809.228
   gu10    all  741.7565
   gu11    all  373.3314
   gu12    all  1026.506
   gu13    all  320.4671
   gu14    all  2895.595
   gu16    all   739.507
   gu21    all  150.5117
   gu22    all  83.76944
   gu23    all   228.076
   gu24    all  1120.058
   gu25    all  3632.648
a matrix=mo193   p2-32   0.0 ProducUvHA2                             
   gu01    all  873.4491
   gu02    all  2375.726
   gu05    all  3433.699
   gu06    all  2015.177
   gu07    all  2672.132
   gu08    all  1103.751
   gu09    all  7495.522
   gu10    all  1088.783
   gu11    all   471.878
   gu12    all  1034.409
   gu13    all   463.287
   gu14    all  2555.543
   gu16    all  791.1133
   gu21    all  362.4865
   gu22    all  51.41961
   gu23    all  444.3538
   gu24    all  2127.966
   gu25    all  3391.919
a matrix=mo194   p2-13   0.0 ProducUvLA3+                            
   gu01    all  41.33226
   gu02    all  299.8868
   gu05    all  580.1321
   gu06    all  839.8462
   gu07    all  731.3315
   gu08    all  136.0056
   gu09    all  1536.946
   gu10    all  47.99829
   gu11    all  203.3374
   gu12    all  195.5598
   gu13    all  48.46311
   gu14    all  563.5219
   gu16    all  102.8412
   gu21    all  4.175603
   gu22    all  20.97931
   gu23    all   33.2392
   gu24    all  272.2091
   gu25    all  725.8932
a matrix=mo195   p2-23   0.0 ProducUvMA3+                            
   gu01    all  55.06781
   gu02    all  583.5901
   gu05    all  825.0559
   gu06    all  1441.425
   gu07    all  906.2997
   gu08    all  328.4022
   gu09    all  3006.367
   gu10    all  238.5326
   gu11    all  461.5488
   gu12    all  850.7514
   gu13    all  116.9372
   gu14    all  1405.279
   gu16    all  162.9649
   gu21    all  9.975085
   gu22    all  14.27248
   gu23    all  43.18042
   gu24    all  310.9304
   gu25    all  974.5806
a matrix=mo196   p2-33   0.0 ProducUvHA3+                            
   gu01    all  389.8462
   gu02    all  1718.967
   gu05    all  1266.247
   gu06    all  2577.095
   gu07    all  1478.851
   gu08    all  654.1146
   gu09    all  4122.846
   gu10    all  492.1723
   gu11    all  919.0513
   gu12    all  1338.227
   gu13    all  268.6899
   gu14    all  1942.506
   gu16    all  259.4928
   gu21    all  32.28889
   gu22    all  12.22107
   gu23    all  110.1157
   gu24    all  738.4113
   gu25    all  1261.841
a matrix=mo197   p3-10   0.0 ProducScLA0                             
   gu01    all  291.0875
   gu02    all  623.9621
   gu05    all  2326.241
   gu06    all  1136.944
   gu07    all  1012.691
   gu08    all  170.2339
   gu09    all  2103.215
   gu10    all  288.0451
   gu11    all  468.4016
   gu12    all  453.9624
   gu13    all  265.9126
   gu14    all  951.0681
   gu16    all  580.6827
   gu21    all  794.2587
   gu22    all  595.7119
   gu23    all  520.7043
   gu24    all   1313.66
   gu25    all  4554.677
a matrix=mo198   p3-20   0.0 ProducScMA0                             
   gu01    all   71.0022
   gu02    all  311.8019
   gu05    all  892.0907
   gu06    all  527.1426
   gu07    all  297.6296
   gu08    all  83.28422
   gu09    all  1095.113
   gu10    all  177.8162
   gu11    all  202.7816
   gu12    all  437.5211
   gu13    all    122.07
   gu14    all  416.1097
   gu16    all  252.1871
   gu21    all  362.7679
   gu22    all  120.7021
   gu23    all  189.8438
   gu24    all  387.8925
   gu25    all  1974.613
a matrix=mo199   p3-30   0.0 ProducScHA0                             
   gu01    all  97.78255
   gu02    all  245.1554
   gu05    all  335.4911
   gu06    all   219.956
   gu07    all  119.2694
   gu08    all  40.18491
   gu09    all    370.55
   gu10    all  73.54716
   gu11    all  81.37605
   gu12    all  159.2274
   gu13    all  55.25901
   gu14    all  99.30728
   gu16    all  93.14825
   gu21    all  163.4141
   gu22    all  23.68978
   gu23    all  161.3805
   gu24    all  335.7087
   gu25    all  857.8002
a matrix=mo200   p3-11   0.0 ProducScLA1                             
   gu01    all  2031.972
   gu02    all  2942.518
   gu05    all  7919.176
   gu06    all  7684.933
   gu07    all  6332.191
   gu08    all  1173.871
   gu09    all   13905.7
   gu10    all  1821.425
   gu11    all  3500.531
   gu12    all  3272.447
   gu13    all   1811.37
   gu14    all  6058.611
   gu16    all  1816.805
   gu21    all  681.4462
   gu22    all  780.2621
   gu23    all  884.7716
   gu24    all  3745.885
   gu25    all  10817.85
a matrix=mo201   p3-21   0.0 ProducScMA1                             
   gu01    all  1026.052
   gu02    all  2932.126
   gu05    all  6594.851
   gu06    all    8139.1
   gu07    all  3949.887
   gu08    all  1239.832
   gu09    all  15480.84
   gu10    all  2660.226
   gu11    all  3506.408
   gu12    all   7184.36
   gu13    all  1972.714
   gu14    all  6194.333
   gu16    all  1779.567
   gu21    all  994.8836
   gu22    all  378.1947
   gu23    all  664.3353
   gu24    all  2279.584
   gu25    all  9898.626
a matrix=mo202   p3-31   0.0 ProducScHA1                             
   gu01    all  3462.386
   gu02    all  5210.189
   gu05    all   4906.92
   gu06    all  6813.858
   gu07    all  3197.545
   gu08    all  1235.607
   gu09    all  10984.59
   gu10    all  2369.145
   gu11    all  2833.391
   gu12    all  5307.235
   gu13    all  1807.649
   gu14    all  2975.529
   gu16    all  1384.539
   gu21    all  993.5192
   gu22    all  143.8759
   gu23    all  1379.347
   gu24    all  4604.202
   gu25    all  8900.674
a matrix=mo203   p3-12   0.0 ProducScLA2                             
   gu01    all  605.6257
   gu02    all  1056.526
   gu05    all  3234.021
   gu06    all   2094.16
   gu07    all  3946.231
   gu08    all   641.911
   gu09    all  8787.204
   gu10    all  841.9283
   gu11    all  793.4122
   gu12    all  674.7314
   gu13    all  813.4538
   gu14    all  5059.152
   gu16    all  598.3431
   gu21    all  35.57402
   gu22    all  112.6953
   gu23    all  220.8208
   gu24    all  1404.004
   gu25    all  3471.027
a matrix=mo204   p3-22   0.0 ProducScMA2                             
   gu01    all  662.9639
   gu02    all  2579.033
   gu05    all  6247.891
   gu06    all  5245.516
   gu07    all  6496.186
   gu08    all  1961.621
   gu09    all  22468.84
   gu10    all  3592.605
   gu11    all  1742.049
   gu12    all  3591.822
   gu13    all  1968.497
   gu14    all  12484.52
   gu16    all  1320.155
   gu21    all  131.5489
   gu22    all  127.9652
   gu23    all  414.8693
   gu24    all  2254.341
   gu25    all   7716.17
a matrix=mo205   p3-32   0.0 ProducScHA2                             
   gu01    all  3998.787
   gu02    all  7877.329
   gu05    all  8894.557
   gu06    all  7991.835
   gu07    all  8820.078
   gu08    all  3290.132
   gu09    all   28370.9
   gu10    all  5734.325
   gu11    all  2554.251
   gu12    all  4619.183
   gu13    all  3241.286
   gu14    all  11297.18
   gu16    all  1994.639
   gu21    all  431.0297
   gu22    all  115.1463
   gu23    all  1469.768
   gu24    all  7401.596
   gu25    all  12080.31
a matrix=mo206   p3-13   0.0 ProducScLA3+                            
   gu01    all  167.4695
   gu02    all  498.0644
   gu05    all  764.8468
   gu06    all  1700.117
   gu07    all  1247.648
   gu08    all  201.9025
   gu09    all  3075.982
   gu10    all  226.7111
   gu11    all  975.8655
   gu12    all  447.6042
   gu13    all  291.7952
   gu14    all  2319.142
   gu16    all  131.1604
   gu21    all  2.440437
   gu22    all  20.91748
   gu23    all  40.22313
   gu24    all  347.9762
   gu25    all  954.5753
a matrix=mo207   p3-23   0.0 ProducScMA3+                            
   gu01    all  242.3412
   gu02    all  1584.247
   gu05    all   1615.05
   gu06    all  4358.929
   gu07    all  2384.009
   gu08    all  776.3627
   gu09    all  9072.265
   gu10    all  1196.257
   gu11    all  2292.406
   gu12    all  3115.574
   gu13    all  747.3874
   gu14    all  6500.111
   gu16    all  308.9755
   gu21    all  9.385431
   gu22    all   26.7022
   gu23    all  93.70502
   gu24    all  701.0718
   gu25    all  2268.071
a matrix=mo208   p3-33   0.0 ProducScHA3+                            
   gu01    all  1809.678
   gu02    all  5828.813
   gu05    all  3364.759
   gu06    all  10356.79
   gu07    all   5063.31
   gu08    all  2001.141
   gu09    all  15849.29
   gu10    all  2656.975
   gu11    all  5216.532
   gu12    all  6007.772
   gu13    all  1918.519
   gu14    all  9021.535
   gu16    all  676.6787
   gu21    all  40.08238
   gu22    all  33.60106
   gu23    all  384.8008
   gu24    all  2662.285
   gu25    all  4738.458
a matrix=mo209   p4-10   0.0 ProducShLA0                             
   gu01    all  679.7165
   gu02    all  2384.826
   gu05    all  5698.039
   gu06    all  2413.985
   gu07    all  2105.566
   gu08    all  450.4423
   gu09    all  3608.285
   gu10    all  1194.008
   gu11    all  964.6532
   gu12    all  1556.988
   gu13    all   601.661
   gu14    all  3125.501
   gu16    all  1869.852
   gu21    all  7129.679
   gu22    all  2305.811
   gu23    all  1383.758
   gu24    all  2460.347
   gu25    all  9155.627
a matrix=mo210   p4-20   0.0 ProducShMA0                             
   gu01    all  216.6197
   gu02    all  1233.703
   gu05    all  2250.482
   gu06    all  956.2064
   gu07    all   684.323
   gu08    all  177.9348
   gu09    all  1772.102
   gu10    all  603.8831
   gu11    all  372.9898
   gu12    all  782.1078
   gu13    all  203.7844
   gu14    all  982.7526
   gu16    all  1071.476
   gu21    all  3588.905
   gu22    all  547.6643
   gu23    all  1355.577
   gu24    all  1828.719
   gu25    all  6270.849
a matrix=mo211   p4-30   0.0 ProducShHA0                             
   gu01    all  106.9213
   gu02    all  436.2312
   gu05    all   520.319
   gu06    all   242.237
   gu07    all  154.9574
   gu08    all  58.19352
   gu09    all  290.0947
   gu10    all  131.8585
   gu11    all  82.75011
   gu12    all  187.5487
   gu13    all  45.78231
   gu14    all  128.9834
   gu16    all  223.7119
   gu21    all  1400.373
   gu22    all  81.49318
   gu23    all  331.2795
   gu24    all   486.091
   gu25    all  1262.325
a matrix=mo212   p4-11   0.0 ProducShLA1                             
   gu01    all  2588.193
   gu02    all  5717.954
   gu05    all   10921.8
   gu06    all  9740.173
   gu07    all  7881.281
   gu08    all  1799.931
   gu09    all   14658.3
   gu10    all  4199.133
   gu11    all  4320.876
   gu12    all  6244.808
   gu13    all  2515.832
   gu14    all  11843.37
   gu16    all  3341.647
   gu21    all  3628.039
   gu22    all  1763.101
   gu23    all  1380.834
   gu24    all  4188.491
   gu25    all  12634.13
a matrix=mo213   p4-21   0.0 ProducShMA1                             
   gu01    all  1729.293
   gu02    all  5968.602
   gu05    all  9568.798
   gu06    all  9089.235
   gu07    all  5556.106
   gu08    all   1636.94
   gu09    all  16648.26
   gu10    all  5051.558
   gu11    all  3966.009
   gu12    all  8012.791
   gu13    all  2027.024
   gu14    all  8778.393
   gu16    all  4164.579
   gu21    all  5668.487
   gu22    all  1149.346
   gu23    all  2751.983
   gu24    all  6238.148
   gu25    all  19023.98
a matrix=mo214   p4-31   0.0 ProducShHA1                             
   gu01    all  2320.455
   gu02    all  5290.443
   gu05    all  4856.947
   gu06    all  5283.918
   gu07    all  2906.504
   gu08    all  1227.298
   gu09    all  6232.683
   gu10    all  2615.654
   gu11    all   2025.08
   gu12    all  4328.703
   gu13    all  1072.655
   gu14    all   2667.55
   gu16    all  2084.198
   gu21    all   5068.21
   gu22    all  331.3222
   gu23    all  1740.752
   gu24    all  4157.043
   gu25    all  8541.608
a matrix=mo215   p4-12   0.0 ProducShLA2                             
   gu01    all  621.9511
   gu02    all  1602.338
   gu05    all  3730.383
   gu06    all  2262.872
   gu07    all  4450.102
   gu08    all  870.6364
   gu09    all  7326.085
   gu10    all  1489.265
   gu11    all  859.6227
   gu12    all  992.6687
   gu13    all   926.497
   gu14    all  6805.948
   gu16    all  807.8745
   gu21    all  170.1704
   gu22    all  219.2275
   gu23    all  262.1533
   gu24    all  1343.215
   gu25    all  3354.453
a matrix=mo216   p4-22   0.0 ProducShMA2                             
   gu01    all  710.8856
   gu02    all  3205.669
   gu05    all  7138.413
   gu06    all  4664.873
   gu07    all  6321.994
   gu08    all  1833.332
   gu09    all  18924.86
   gu10    all  4655.852
   gu11    all  1631.666
   gu12    all  3201.854
   gu13    all  1570.532
   gu14    all   11786.7
   gu16    all  1961.869
   gu21    all  568.7972
   gu22    all  330.9658
   gu23    all  944.4076
   gu24    all  3772.831
   gu25    all  10645.56
a matrix=mo217   p4-32   0.0 ProducShHA2                             
   gu01    all  2029.649
   gu02    all  5533.083
   gu05    all  5881.219
   gu06    all   4624.68
   gu07    all  5461.246
   gu08    all  2262.954
   gu09    all  11803.44
   gu10    all  4150.527
   gu11    all  1388.194
