c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 15:45:21
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo161   p1-10   0.0 ProducWkLA0                             
   gy12    all  9609.946
   gy13    all  1930.918
   gy14    all  12447.07
a matrix=mo173   p8-10   0.0 ProducNwLA0                             
   gy01    all  165.9479
   gy02    all  687.9421
   gy03    all  9808.169
   gy04    all  7546.209
   gy05    all  3344.058
   gy06    all  594.4374
   gy07    all  944.9679
   gy08    all  136.3845
   gy09    all  874.0305
   gy10    all  124.5203
   gy11    all  198.5305
   gy12    all   398.439
   gy13    all   71.4548
   gy14    all  739.3282
a matrix=mo174   p8-20   0.0 ProducNwMA0                             
   gy01    all  99.01449
   gy02    all  658.8927
   gy03    all  8002.083
   gy04    all  6038.136
   gy05    all  2860.721
   gy06    all  563.3453
   gy07    all  690.0404
   gy08    all  148.7472
   gy09    all  810.7465
   gy10    all  185.3326
   gy11    all  182.9558
   gy12    all  588.1631
   gy13    all  66.37281
   gy14    all  585.9582
a matrix=mo175   p8-30   0.0 ProducNwHA0                             
   gy01    all  126.5585
   gy02    all  567.1334
   gy03    all  6318.515
   gy04    all  4300.715
   gy05    all  1621.255
   gy06    all  295.9322
   gy07    all  340.5789
   gy08    all  91.48245
   gy09    all  387.0717
   gy10    all  111.9476
   gy11    all  94.76259
   gy12    all  311.3941
   gy13    all  36.58362
   gy14    all  204.5575
a matrix=mo176   p8-11   0.0 ProducNwLA1                             
   gy01    all  759.9942
   gy02    all  1835.096
   gy03    all  5252.108
   gy04    all  10876.84
   gy05    all  7074.489
   gy06    all  2767.916
   gy07    all  4080.852
   gy08    all  658.7281
   gy09    all  4033.943
   gy10    all  528.7501
   gy11    all  1037.921
   gy12    all   1882.84
   gy13    all  353.2017
   gy14    all  3306.328
a matrix=mo177   p8-21   0.0 ProducNwMA1                             
   gy01    all  987.3552
   gy02    all  3679.299
   gy03    all  13143.09
   gy04    all  18891.26
   gy05    all  13018.47
   gy06    all  5993.697
   gy07    all  6301.242
   gy08    all  1581.732
   gy09    all  8448.814
   gy10    all  1887.677
   gy11    all  2207.009
   gy12    all  6774.968
   gy13    all  770.2551
   gy14    all  6027.496
a matrix=mo178   p8-31   0.0 ProducNwHA1                             
   gy01    all  2887.534
   gy02    all  6674.425
   gy03    all  20992.53
   gy04    all  27575.91
   gy05    all  14134.78
   gy06    all  6234.038
   gy07    all  6220.116
   gy08    all  1957.767
   gy09    all   8121.28
   gy10    all  2288.433
   gy11    all  2271.509
   gy12    all  7179.158
   gy13    all  859.8276
   gy14    all  4217.372
a matrix=mo179   p8-12   0.0 ProducNwLA2                             
   gy01    all  279.0849
   gy02    all  777.1373
   gy03    all  375.3747
   gy04    all  4231.018
   gy05    all  3507.603
   gy06    all  979.9909
   gy07    all    3601.7
   gy08    all  507.8766
   gy09    all  3093.349
   gy10    all  307.1613
   gy11    all  303.2116
   gy12    all  450.5595
   gy13    all  203.5661
   gy14    all  3370.418
a matrix=mo180   p8-22   0.0 ProducNwMA2                             
   gy01    all  500.0879
   gy02    all  2243.971
   gy03    all  1382.103
   gy04    all  10597.71
   gy05    all  9108.432
   gy06    all  3162.536
   gy07    all  7856.591
   gy08    all  1979.088
   gy09    all  10008.57
   gy10    all  2093.599
   gy11    all  917.9042
   gy12    all  2717.838
   gy13    all   629.761
   gy14    all  9285.704
a matrix=mo181   p8-32   0.0 ProducNwHA2                             
   gy01    all  2864.169
   gy02    all  7706.758
   gy03    all   6270.38
   gy04    all  27450.61
   gy05    all  16511.54
   gy06    all  5797.983
   gy07    all  13052.58
   gy08    all  4131.098
   gy09    all  16521.33
   gy10    all  4269.048
   gy11    all  1633.394
   gy12    all  4932.304
   gy13    all  1238.495
   gy14    all  11703.85
a matrix=mo182   p8-13   0.0 ProducNwLA3+                            
   gy01    all  64.87874
   gy02    all  272.2974
   gy03    all  20.48881
   gy04    all  845.3051
   gy05    all  660.2346
   gy06    all  632.5109
   gy07    all  930.8937
   gy08    all  127.4853
   gy09    all  886.3725
   gy10    all  69.98023
   gy11    all  298.3555
   gy12    all  230.3184
   gy13    all  56.82236
   gy14    all  1164.127
a matrix=mo183   p8-23   0.0 ProducNwMA3+                            
   gy01    all  127.6973
   gy02    all  918.8274
   gy03    all  74.62568
   gy04    all  2220.099
   gy05    all  1828.703
   gy06    all  2104.523
   gy07    all  2208.179
   gy08    all  610.3022
   gy09    all  3201.655
   gy10    all  587.2713
   gy11    all  951.1109
   gy12    all  1873.177
   gy13    all  190.6616
   gy14    all  3599.366
a matrix=mo184   p8-33   0.0 ProducNwHA3+                            
   gy01    all  1154.443
   gy02    all  4471.733
   gy03    all  404.8226
   gy04    all  7490.163
   gy05    all  4534.709
   gy06    all  5947.014
   gy07    all  5697.091
   gy08    all  1934.842
   gy09    all  7346.824
   gy10    all  1668.877
   gy11    all   2570.55
   gy12    all  5173.988
   gy13    all  586.6157
   gy14    all  7121.611
a matrix=mo185   p2-10   0.0 ProducUvLA0                             
   gy01    all  66.63304
   gy02    all  646.4584
   gy03    all  2920.544
   gy04    all  8872.504
   gy05    all  3136.848
   gy06    all  725.0132
   gy07    all  726.1294
   gy08    all  159.5541
   gy09    all  1292.849
   gy10    all  62.11052
   gy11    all  88.99318
   gy12    all   334.174
   gy13    all  41.93001
   gy14    all  232.3466
a matrix=mo186   p2-20   0.0 ProducUvMA0                             
   gy01    all  21.67738
   gy02    all  176.9259
   gy03    all  587.1165
   gy04    all  1878.348
   gy05    all  665.9041
   gy06    all  187.2621
   gy07    all  131.4091
   gy08    all  40.63156
   gy09    all  366.3456
   gy10    all  41.56771
   gy11    all  44.14148
   gy12    all  126.3685
   gy13    all  21.03728
   gy14    all  107.8887
a matrix=mo187   p2-30   0.0 ProducUvHA0                             
   gy01    all  25.46995
   gy02    all  48.32278
   gy03    all  130.3255
   gy04    all  504.4931
   gy05    all  107.2772
   gy06    all  32.05676
   gy07    all  21.71435
   gy08    all  8.427492
   gy09    all  56.44948
   gy10    all  17.59261
   gy11    all   17.1093
   gy12    all  21.22453
   gy13    all  9.001598
   gy14    all  27.42099
a matrix=mo188   p2-11   0.0 ProducUvLA1                             
   gy01    all   410.134
   gy02    all  1851.067
   gy03    all  1728.967
   gy04    all  14532.78
   gy05    all  7061.324
   gy06    all   3480.41
   gy07    all  3287.927
   gy08    all  750.5902
   gy09    all  6111.375
   gy10    all   341.346
   gy11    all  608.3333
   gy12    all   1530.68
   gy13    all  256.6281
   gy14    all  1298.123
a matrix=mo189   p2-21   0.0 ProducUvMA1                             
   gy01    all  259.3866
   gy02    all  1151.892
   gy03    all  1180.708
   gy04    all  7180.662
   gy05    all  3681.889
   gy06    all  2270.055
   gy07    all  1359.337
   gy08    all  469.9211
   gy09    all  4280.506
   gy10    all  542.0286
   gy11    all  692.8902
   gy12    all  1649.646
   gy13    all  302.8642
   gy14    all  1412.718
a matrix=mo190   p2-31   0.0 ProducUvHA1                             
   gy01    all   775.765
   gy02    all  801.2704
   gy03    all  555.3178
   gy04    all  4670.832
   gy05    all  1271.237
   gy06    all  857.7066
   gy07    all  495.2207
   gy08    all  217.8968
   gy09    all  1463.579
   gy10    all  484.9721
   gy11    all  539.9608
   gy12    all  601.3596
   gy13    all   266.824
   gy14    all  719.8695
a matrix=mo191   p2-12   0.0 ProducUvLA2                             
   gy01    all  155.9828
   gy02    all  706.0717
   gy03    all  94.16304
   gy04    all  4868.767
   gy05    all  3150.241
   gy06    all  1126.048
   gy07    all  2525.441
   gy08    all  477.1969
   gy09    all  4696.183
   gy10    all  193.2946
   gy11    all  178.3775
   gy12    all  324.3851
   gy13    all  147.2544
   gy14    all  1335.333
a matrix=mo192   p2-22   0.0 ProducUvMA2                             
   gy01    all  170.1463
   gy02    all  1058.204
   gy03    all  171.1329
   gy04    all  5043.931
   gy05    all  4054.087
   gy06    all   1814.64
   gy07    all  2624.089
   gy08    all  872.3571
   gy09    all  7809.228
   gy10    all  741.7565
   gy11    all  373.3314
   gy12    all  1026.506
   gy13    all  320.4671
   gy14    all  2895.595
a matrix=mo193   p2-32   0.0 ProducUvHA2                             
   gy01    all  873.4491
   gy02    all  2375.726
   gy03    all  382.5082
   gy04    all  5995.636
   gy05    all  4224.813
   gy06    all  2015.177
   gy07    all  2672.132
   gy08    all  1103.751
   gy09    all  7495.522
   gy10    all  1088.783
   gy11    all   471.878
   gy12    all  1034.409
   gy13    all   463.287
   gy14    all  2555.543
a matrix=mo194   p2-13   0.0 ProducUvLA3+                            
   gy01    all  41.33226
   gy02    all  299.8868
   gy03    all    6.5274
   gy04    all  1049.969
   gy05    all  682.9733
   gy06    all  839.8462
   gy07    all  731.3315
   gy08    all  136.0056
   gy09    all  1536.946
   gy10    all  47.99829
   gy11    all  203.3374
   gy12    all  195.5598
   gy13    all  48.46311
   gy14    all  563.5219
a matrix=mo195   p2-23   0.0 ProducUvMA3+                            
   gy01    all  55.06781
   gy02    all  583.5901
   gy03    all  12.31681
   gy04    all  1340.622
   gy05    all  988.0208
   gy06    all  1441.425
   gy07    all  906.2997
   gy08    all  328.4022
   gy09    all  3006.367
   gy10    all  238.5326
   gy11    all  461.5488
   gy12    all  850.7514
   gy13    all  116.9372
   gy14    all  1405.279
a matrix=mo196   p2-33   0.0 ProducUvHA3+                            
   gy01    all  389.8462
   gy02    all  1718.967
   gy03    all  35.65676
   gy04    all  2119.221
   gy05    all   1525.74
   gy06    all  2577.095
   gy07    all  1478.851
   gy08    all  654.1146
   gy09    all  4122.846
   gy10    all  492.1723
   gy11    all  919.0513
   gy12    all  1338.227
   gy13    all  268.6899
   gy14    all  1942.506
a matrix=mo197   p3-10   0.0 ProducScLA0                             
   gy01    all  291.0875
   gy02    all  623.9621
   gy03    all  918.6135
   gy04    all  6860.399
   gy05    all  2906.924
   gy06    all  1136.944
   gy07    all  1012.691
   gy08    all  170.2339
   gy09    all  2103.215
   gy10    all  288.0451
   gy11    all  468.4016
   gy12    all  453.9624
   gy13    all  265.9126
   gy14    all  951.0681
a matrix=mo198   p3-20   0.0 ProducScMA0                             
   gy01    all   71.0022
   gy02    all  311.8019
   gy03    all  384.8296
   gy04    all  2650.989
   gy05    all  1144.278
   gy06    all  527.1426
   gy07    all  297.6296
   gy08    all  83.28422
   gy09    all  1095.113
   gy10    all  177.8162
   gy11    all  202.7816
   gy12    all  437.5211
   gy13    all    122.07
   gy14    all  416.1097
a matrix=mo199   p3-30   0.0 ProducScHA0                             
   gy01    all  97.78255
   gy02    all  245.1554
   gy03    all  167.0626
   gy04    all  1374.931
   gy05    all  428.6394
   gy06    all   219.956
   gy07    all  119.2694
   gy08    all  40.18491
   gy09    all    370.55
   gy10    all  73.54716
   gy11    all  81.37605
   gy12    all  159.2274
   gy13    all  55.25901
   gy14    all  99.30728
a matrix=mo200   p3-11   0.0 ProducScLA1                             
   gy01    all  2031.972
   gy02    all  2942.518
   gy03    all  811.7723
   gy04    all  16098.44
   gy05    all  9735.981
   gy06    all  7684.933
   gy07    all  6332.191
   gy08    all  1173.871
   gy09    all   13905.7
   gy10    all  1821.425
   gy11    all  3500.531
   gy12    all  3272.447
   gy13    all   1811.37
   gy14    all  6058.611
a matrix=mo201   p3-21   0.0 ProducScMA1                             
   gy01    all  1026.052
   gy02    all  2932.126
   gy03    all  1067.804
   gy04    all  13147.82
   gy05    all  8374.418
   gy06    all    8139.1
   gy07    all  3949.887
   gy08    all  1239.832
   gy09    all  15480.84
   gy10    all  2660.226
   gy11    all  3506.408
   gy12    all   7184.36
   gy13    all  1972.714
   gy14    all  6194.333
a matrix=mo202   p3-31   0.0 ProducScHA1                             
   gy01    all  3462.386
   gy02    all  5210.189
   gy03    all  1016.857
   gy04    all  15004.76
   gy05    all   6291.46
   gy06    all  6813.858
   gy07    all  3197.545
   gy08    all  1235.607
   gy09    all  10984.59
   gy10    all  2369.145
   gy11    all  2833.391
   gy12    all  5307.235
   gy13    all  1807.649
   gy14    all  2975.529
a matrix=mo203   p3-12   0.0 ProducScLA2                             
   gy01    all  605.6257
   gy02    all  1056.526
   gy03    all  48.37382
   gy04    all  5195.747
   gy05    all  3832.364
   gy06    all   2094.16
   gy07    all  3946.231
   gy08    all   641.911
   gy09    all  8787.204
   gy10    all  841.9283
   gy11    all  793.4122
   gy12    all  674.7314
   gy13    all  813.4538
   gy14    all  5059.152
a matrix=mo204   p3-22   0.0 ProducScMA2                             
   gy01    all  662.9639
   gy02    all  2579.033
   gy03    all  149.1015
   gy04    all  10495.79
   gy05    all  7568.046
   gy06    all  5245.516
   gy07    all  6496.186
   gy08    all  1961.621
   gy09    all  22468.84
   gy10    all  3592.605
   gy11    all  1742.049
   gy12    all  3591.822
   gy13    all  1968.497
   gy14    all  12484.52
a matrix=mo205   p3-32   0.0 ProducScHA2                             
   gy01    all  3998.787
   gy02    all  7877.329
   gy03    all  453.2905
   gy04    all  21044.56
   gy05    all   10889.2
   gy06    all  7991.835
   gy07    all  8820.078
   gy08    all  3290.132
   gy09    all   28370.9
   gy10    all  5734.325
   gy11    all  2554.251
   gy12    all  4619.183
   gy13    all  3241.286
   gy14    all  11297.18
a matrix=mo206   p3-13   0.0 ProducScLA3+                            
   gy01    all  167.4695
   gy02    all  498.0644
   gy03    all  3.875279
   gy04    all  1362.257
   gy05    all  896.0072
   gy06    all  1700.117
   gy07    all  1247.648
   gy08    all  201.9025
   gy09    all  3075.982
   gy10    all  226.7111
   gy11    all  975.8655
   gy12    all  447.6042
   gy13    all  291.7952
   gy14    all  2319.142
a matrix=mo207   p3-23   0.0 ProducScMA3+                            
   gy01    all  242.3412
   gy02    all  1584.247
   gy03    all  11.70922
   gy04    all  3087.226
   gy05    all  1924.026
   gy06    all  4358.929
   gy07    all  2384.009
   gy08    all  776.3627
   gy09    all  9072.265
   gy10    all  1196.257
   gy11    all  2292.406
   gy12    all  3115.574
   gy13    all  747.3874
   gy14    all  6500.111
a matrix=mo208   p3-33   0.0 ProducScHA3+                            
   gy01    all  1809.678
   gy02    all  5828.813
   gy03    all   44.3653
   gy04    all  7814.862
   gy05    all  4041.437
   gy06    all  10356.79
   gy07    all   5063.31
   gy08    all  2001.141
   gy09    all  15849.29
   gy10    all  2656.975
   gy11    all  5216.532
   gy12    all  6007.772
   gy13    all  1918.519
   gy14    all  9021.535
a matrix=mo209   p4-10   0.0 ProducShLA0                             
   gy01    all  679.7165
   gy02    all  2384.826
   gy03    all  8188.846
   gy04    all  14246.38
   gy05    all   7567.89
   gy06    all  2413.985
   gy07    all  2105.566
   gy08    all  450.4423
   gy09    all  3608.285
   gy10    all  1194.008
   gy11    all  964.6532
   gy12    all  1556.988
   gy13    all   601.661
   gy14    all  3125.501
a matrix=mo210   p4-20   0.0 ProducShMA0                             
   gy01    all  216.6197
   gy02    all  1233.703
   gy03    all  3771.932
   gy04    all  9819.782
   gy05    all  3321.958
   gy06    all  956.2064
   gy07    all   684.323
   gy08    all  177.9348
   gy09    all  1772.102
   gy10    all  603.8831
   gy11    all  372.9898
   gy12    all  782.1078
   gy13    all  203.7844
   gy14    all  982.7526
a matrix=mo211   p4-30   0.0 ProducShHA0                             
   gy01    all  106.9213
   gy02    all  436.2312
   gy03    all  1432.916
   gy04    all  2128.646
   gy05    all  744.0309
   gy06    all   242.237
   gy07    all  154.9574
   gy08    all  58.19352
   gy09    all  290.0947
   gy10    all  131.8585
   gy11    all  82.75011
   gy12    all  187.5487
   gy13    all  45.78231
   gy14    all  128.9834
a matrix=mo212   p4-11   0.0 ProducShLA1                             
   gy01    all  2588.193
   gy02    all  5717.954
   gy03    all  4300.642
   gy04    all  19293.95
   gy05    all  14263.45
   gy06    all  9740.173
   gy07    all  7881.281
   gy08    all  1799.931
   gy09    all   14658.3
   gy10    all  4199.133
   gy11    all  4320.876
   gy12    all  6244.808
   gy13    all  2515.832
   gy14    all  11843.37
a matrix=mo213   p4-21   0.0 ProducShMA1                             
   gy01    all  1729.293
   gy02    all  5968.602
   gy03    all  6054.479
   gy04    all  28777.46
   gy05    all  13733.38
   gy06    all  9089.235
   gy07    all  5556.106
   gy08    all   1636.94
   gy09    all  16648.26
   gy10    all  5051.558
   gy11    all  3966.009
   gy12    all  8012.791
   gy13    all  2027.024
   gy14    all  8778.393
a matrix=mo214   p4-31   0.0 ProducShHA1                             
   gy01    all  2320.455
   gy02    all  5290.443
   gy03    all  5201.631
   gy04    all   14637.3
   gy05    all  6941.145
   gy06    all  5283.918
   gy07    all  2906.504
   gy08    all  1227.298
   gy09    all  6232.683
   gy10    all  2615.654
   gy11    all   2025.08
   gy12    all  4328.703
   gy13    all  1072.655
   gy14    all   2667.55
a matrix=mo215   p4-12   0.0 ProducShLA2                             
   gy01    all  621.9511
   gy02    all  1602.338
   gy03    all  228.1609
   gy04    all  5121.059
   gy05    all  4538.258
   gy06    all  2262.872
   gy07    all  4450.102
   gy08    all  870.6364
   gy09    all  7326.085
   gy10    all  1489.265
   gy11    all  859.6227
   gy12    all  992.6687
   gy13    all   926.497
   gy14    all  6805.948
a matrix=mo216   p4-22   0.0 ProducShMA2                             
   gy01    all  710.8856
   gy02    all  3205.669
   gy03    all  646.6087
   gy04    all  15615.95
   gy05    all  9100.282
   gy06    all  4664.873
   gy07    all  6321.994
   gy08    all  1833.332
   gy09    all  18924.86
   gy10    all  4655.852
   gy11    all  1631.666
   gy12    all  3201.854
   gy13    all  1570.532
   gy14    all   11786.7
a matrix=mo217   p4-32   0.0 ProducShHA2                             
   gy01    all  2029.649
   gy02    all  5533.083
   gy03    all  1448.888
   gy04    all  13564.99
   gy05    all    7586.2
   gy06    all   4624.68
   gy07    all  5461.246
   gy08    all  2262.954
   gy09    all  11803.44
   gy10    all  4150.527
   gy11    all  1388.194
   gy12    all  2746.052
   gy13    all  1473.213
   gy14    all  6676.893
a matrix=mo218   p4-13   0.0 ProducShLA3+                            
   gy01    all  120.2098
   gy02    all  483.9009
   gy03    all  11.20884
   gy04    all   889.533
   gy05    all  732.1121
   gy06    all  1250.909
   gy07    all  972.6496
   gy08    all   179.372
   gy09    all  1778.484
   gy10    all  263.5292
   gy11    all  714.3731
   gy12    all  424.1135
   gy13    all  209.0375
   gy14    all  1846.864
a matrix=mo219   p4-23   0.0 ProducShMA3+                            
   gy01    all  152.2982
   gy02    all   1196.28
   gy03    all  34.16011
   gy04    all    3131.1
   gy05    all  1749.711
   gy06    all  2967.176
   gy07    all  1673.414
   gy08    all  523.0284
   gy09    all   5723.71
   gy10    all  1187.899
   gy11    all  1584.261
   gy12    all  2078.573
   gy13    all  435.9762
   gy14    all   4171.12
a matrix=mo220   p4-33   0.0 ProducShHA3+                            
   gy01    all  751.4955
   gy02    all  3104.933
   gy03    all  92.63011
   gy04    all  3639.245
   gy05    all  2057.459
   gy06    all  4666.322
   gy07    all  2279.795
   gy08    all  990.1685
   gy09    all  5111.371
   gy10    all  1518.682
   gy11    all  2130.796
   gy12    all  2753.447
   gy13    all  677.0241
   gy14    all  3911.688
a matrix=mo221   p5-10   0.0 ProducPBLA0                             
   gy01    all  560.9773
   gy02    all  1707.728
   gy03    all  5419.377
   gy04    all  10001.73
   gy05    all  5652.939
   gy06    all  1665.907
   gy07    all  1390.241
   gy08    all  354.6343
   gy09    all  2604.478
   gy10    all   797.531
   gy11    all   905.094
   gy12    all  1260.895
   gy13    all  593.7773
   gy14    all  2328.263
a matrix=mo222   p5-20   0.0 ProducPBMA0                             
   gy01    all  183.0228
   gy02    all  937.3473
   gy03    all  2195.744
   gy04    all  6498.568
   gy05    all  2097.355
   gy06    all   657.433
   gy07    all  437.6849
   gy08    all  143.3352
   gy09    all   1161.72
   gy10    all  367.6149
   gy11    all   344.004
   gy12    all  637.3649
   gy13    all  215.0002
   gy14    all  731.7853
a matrix=mo223   p5-30   0.0 ProducPBHA0                             
   gy01    all  90.19549
   gy02    all  292.0951
   gy03    all  865.3896
   gy04    all  1643.505
   gy05    all  509.5318
   gy06    all  172.4109
   gy07    all  112.1017
   gy08    all  47.12431
   gy09    all  212.2475
   gy10    all  96.98533
   gy11    all  84.47103
   gy12    all  143.8628
   gy13    all  40.77176
   gy14    all  82.45038
a matrix=mo224   p5-11   0.0 ProducPBLA1                             
   gy01    all  1877.276
   gy02    all  3512.239
   gy03    all  2400.904
   gy04    all   11730.2
   gy05    all  9450.688
   gy06    all  6020.223
   gy07    all   4691.12
   gy08    all  1270.613
   gy09    all  9458.655
   gy10    all  2456.005
   gy11    all  3619.328
   gy12    all  4471.777
   gy13    all   2199.11
   gy14    all  7782.401
a matrix=mo225   p5-21   0.0 ProducPBMA1                             
   gy01    all  1577.452
   gy02    all  4949.273
   gy03    all  3902.214
   gy04    all  20741.46
   gy05    all  9401.396
   gy06    all  6602.154
   gy07    all  3806.223
   gy08    all  1403.135
   gy09    all  11496.67
   gy10    all  3290.338
   gy11    all   3859.06
   gy12    all  6866.106
   gy13    all  2255.858
   gy14    all  6942.144
a matrix=mo226   p5-31   0.0 ProducPBHA1                             
   gy01    all   2120.05
   gy02    all  3860.068
   gy03    all  3625.407
   gy04    all  12549.28
   gy05    all  5324.024
   gy06    all  4021.685
   gy07    all  2254.093
   gy08    all  1064.391
   gy09    all  4847.393
   gy10    all  2098.648
   gy11    all  2184.814
   gy12    all  3570.172
   gy13    all  999.3234
   gy14    all  1827.114
a matrix=mo227   p5-12   0.0 ProducPBLA2                             
   gy01    all  492.3125
   gy02    all  1063.322
   gy03    all  136.5989
   gy04    all  3318.368
   gy05    all  3237.633
   gy06    all  1506.147
   gy07    all  2830.245
   gy08    all  670.3705
   gy09    all  5137.464
   gy10    all  948.7657
   gy11    all   782.298
   gy12    all  787.7138
   gy13    all  887.8504
   gy14    all  4948.377
a matrix=mo228   p5-22   0.0 ProducPBMA2                             
   gy01    all  639.9783
   gy02    all  2623.525
   gy03    all    411.97
   gy04    all  11144.97
   gy05    all  6173.695
   gy06    all  3372.014
   gy07    all  4291.517
   gy08    all  1561.641
   gy09    all  13049.68
   gy10    all  3013.676
   gy11    all  1579.847
   gy12    all  2739.001
   gy13    all  1737.681
   gy14    all  9243.072
a matrix=mo229   p5-32   0.0 ProducPBHA2                             
   gy01    all  1948.954
   gy02    all  4255.958
   gy03    all  1022.819
   gy04    all  12106.95
   gy05    all   6047.98
   gy06    all   3700.71
   gy07    all  4476.992
   gy08    all  2048.556
   gy09    all  9651.434
   gy10    all  3473.487
   gy11    all  1568.517
   gy12    all  2385.869
   gy13    all   1439.78
   gy14    all  4760.095
a matrix=mo230   p5-13   0.0 ProducPBLA3+                            
   gy01    all  90.84936
   gy02    all  306.2902
   gy03    all  6.415919
   gy04    all  551.7395
   gy05    all  497.6685
   gy06    all   796.735
   gy07    all  593.5906
   gy08    all  132.1591
   gy09    all  1193.044
   gy10    all  161.6886
   gy11    all  622.4857
   gy12    all  322.1753
   gy13    all  191.2277
   gy14    all  1273.011
a matrix=mo231   p5-23   0.0 ProducPBMA3+                            
   gy01    all    136.49
   gy02    all  971.2511
   gy03    all  21.78648
