c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
   gu21    all    101.37
   gu22    all     23.73
   gu23    all     23.73
   gu24    all     91.53
   gu25    all    220.35
a matrix=mo61   s10--   0.0 Segment H1W0                            
   gu01    all  3370.131
   gu02    all  7565.018
   gu05    all  9651.432
   gu06    all  6616.867
   gu07    all  6470.712
   gu08    all  2225.095
   gu09    all  11977.61
   gu10    all  5646.809
   gu11    all  3801.972
   gu12    all  5654.628
   gu13    all  2992.578
   gu14    all  12561.84
   gu16    all  4814.057
   gu21    all  7356.579
   gu22    all  2455.996
   gu23    all  3442.871
   gu24    all  6181.226
   gu25    all  14747.33
a matrix=mo62   s11--   0.0 Segment H1W1                            
   gu01    all  2944.869
   gu02    all  8343.982
   gu05    all  14969.57
   gu06    all  11252.13
   gu07    all  8280.287
   gu08    all  1747.905
   gu09    all   17460.4
   gu10    all  3975.191
   gu11    all  4178.029
   gu12    all  6504.372
   gu13    all  1707.622
   gu14    all  8543.836
   gu16    all  7788.943
   gu21    all  21215.42
   gu22    all  3852.004
   gu23    all  5930.129
   gu24    all  10646.77
   gu25    all  31061.67
a matrix=mo63   s20--   0.0 Segment H2W0                            
   gu01    all  3810.736
   gu02    all   4722.81
   gu05    all  9040.821
   gu06    all  7084.828
   gu07    all  6426.784
   gu08    all  1919.992
   gu09    all  11043.19
   gu10    all  4762.199
   gu11    all  3283.537
   gu12    all   5104.03
   gu13    all  2256.853
   gu14    all  10698.73
   gu16    all  2085.871
   gu21    all  3371.917
   gu22    all  552.3544
   gu23    all  1892.774
   gu24    all  4664.182
   gu25    all  8299.117
a matrix=mo64   s21--   0.0 Segment H2W1                            
   gu01    all  1646.204
   gu02    all  4999.501
   gu05    all  7253.876
   gu06    all  7104.652
   gu07    all  6588.499
   gu08    all  1696.764
   gu09    all  14178.28
   gu10    all  2818.165
   gu11    all  3307.523
   gu12    all  4718.454
   gu13    all  1663.749
   gu14    all  6590.397
   gu16    all  2667.038
   gu21    all  6856.341
   gu22    all   911.611
   gu23    all  2064.471
   gu24    all  5087.279
   gu25    all  12764.92
a matrix=mo65   s22--   0.0 Segment H2W2                            
   gu01    all  2166.061
   gu02    all  8237.688
   gu05    all   11626.3
   gu06    all  10715.52
   gu07    all  7596.717
   gu08    all  2175.243
   gu09    all  17706.53
   gu10    all  3502.636
   gu11    all   5067.94
   gu12    all  6794.517
   gu13    all  3124.968
   gu14    all  11572.94
   gu16    all   5497.09
   gu21    all  7418.742
   gu22    all  2583.035
   gu23    all  2649.755
   gu24    all  6529.539
   gu25    all  20763.97
a matrix=mo66   s30--   0.0 Segment H3W0                            
   gu01    all  212.2834
   gu02    all  484.2024
   gu05    all  1411.717
   gu06    all  689.3756
   gu07    all  1043.375
   gu08    all   141.503
   gu09    all  753.4387
   gu10    all  715.8045
   gu11    all  249.5777
   gu12    all  228.4365
   gu13    all  204.2981
   gu14    all  565.0237
   gu16    all   272.484
   gu21    all   314.546
   gu22    all   51.2604
   gu23    all  180.1678
   gu24    all   659.675
   gu25    all  1149.845
a matrix=mo67   s31--   0.0 Segment H3W1                            
   gu01    all  932.7333
   gu02    all  2207.188
   gu05    all  4967.752
   gu06    all  3989.936
   gu07    all  4619.829
   gu08    all  945.1139
   gu09    all  6288.279
   gu10    all  1549.826
   gu11    all  1702.048
   gu12    all   2132.15
   gu13    all  544.8682
   gu14    all   2551.96
   gu16    all  1245.942
   gu21    all  2429.586
   gu22    all  451.6435
   gu23    all  710.6766
   gu24    all  2602.105
   gu25    all  7212.499
a matrix=mo68   s32--   0.0 Segment H3W2                            
   gu01    all  1283.304
   gu02    all  4855.985
   gu05    all  7319.533
   gu06    all  7613.782
   gu07    all  6415.418
   gu08    all  1334.445
   gu09    all  11627.96
   gu10    all  2347.847
   gu11    all  3130.453
   gu12    all  3222.513
   gu13    all   1239.34
   gu14    all  5767.295
   gu16    all  2063.814
   gu21    all  1804.583
   gu22    all  564.4951
   gu23    all   1214.93
   gu24    all  4448.403
   gu25    all  9356.943
a matrix=mo69   s33--   0.0 Segment H3W3                            
   gu01    all  767.6797
   gu02    all  1552.626
   gu05    all  2508.998
   gu06    all  3334.906
   gu07    all  2397.377
   gu08    all  555.9384
   gu09    all  6154.327
   gu10    all  832.5234
   gu11    all  1308.921
   gu12    all    2426.9
   gu13    all  1082.543
   gu14    all  3388.582
   gu16    all  622.7605
   gu21    all  331.2845
   gu22    all   152.601
   gu23    all  257.2253
   gu24    all  941.8169
   gu25    all  2672.715
a matrix=mo70   s40--   0.0 Segment H4+W0                           
   gu01    all  174.9447
   gu02    all  169.8923
   gu05    all  702.7151
   gu06    all  328.4296
   gu07    all  790.4705
   gu08    all  107.1567
   gu09    all  950.1281
   gu10    all  577.4488
   gu11    all  235.1977
   gu12    all  253.4528
   gu13    all  137.7761
   gu14    all  379.8768
   gu16    all  162.7578
   gu21    all   363.415
   gu22    all  108.9274
   gu23    all  175.2887
   gu24    all  814.5883
   gu25    all   906.502
a matrix=mo71   s41--   0.0 Segment H4+W1                           
   gu01    all  1968.963
   gu02    all  2734.821
   gu05    all  5431.446
   gu06    all  5064.738
   gu07    all  5009.925
   gu08    all   1262.13
   gu09    all  10177.76
   gu10    all  2232.018
   gu11    all  2372.968
   gu12    all  2607.816
   gu13    all  677.3876
   gu14    all  4155.546
   gu16    all  854.2406
   gu21    all  1358.995
   gu22    all  419.8673
   gu23    all  748.7464
   gu24    all  3479.518
   gu25    all  6141.585
a matrix=mo72   s42--   0.0 Segment H4+W2                           
   gu01    all  2362.756
   gu02    all  6674.797
   gu05    all  11012.08
   gu06    all  11928.02
   gu07    all  8416.215
   gu08    all  2524.261
   gu09    all  24199.37
   gu10    all  6522.004
   gu11    all  4592.811
   gu12    all  6558.491
   gu13    all  2697.251
   gu14    all  11178.86
   gu16    all  2806.382
   gu21    all  1596.351
   gu22    all  299.8616
   gu23    all   1242.53
   gu24    all   5774.19
   gu25    all  14492.67
a matrix=mo73   s43--   0.0 Segment H4+W3+                          
   gu01    all  810.3364
   gu02    all   3921.49
   gu05    all  4475.754
   gu06    all  7212.815
   gu07    all  6693.389
   gu08    all  1712.452
   gu09    all  17827.75
   gu10    all   1535.53
   gu11    all  3014.023
   gu12    all  4344.241
   gu13    all  1704.416
   gu14    all  7469.127
   gu16    all  935.6193
   gu21    all  266.2395
   gu22    all  243.3438
   gu23    all  511.4353
   gu24    all  2376.704
   gu25    all   9015.25
a matrix=mo74   s101-   0.0 Segment H1W0L                           
   gu01    all  1527.006
   gu02    all   3427.71
   gu05    all  5417.349
   gu06    all  3960.195
   gu07    all   3588.01
   gu08    all  1011.306
   gu09    all  6358.911
   gu10    all   2433.21
   gu11    all   2275.48
   gu12    all  2992.429
   gu13    all  1791.058
   gu14    all  7903.907
   gu16    all  2401.733
   gu21    all  4684.669
   gu22    all  2323.373
   gu23    all  1696.991
   gu24    all  2852.018
   gu25    all  9542.998
a matrix=mo75   s111-   0.0 Segment H1W1L                           
   gu01    all  843.4106
   gu02    all  2389.717
   gu05    all  4719.905
   gu06    all   3140.47
   gu07    all  2229.881
   gu08    all  295.9203
   gu09    all  5419.707
   gu10    all  836.3803
   gu11    all  1166.088
   gu12    all  1442.019
   gu13    all  476.5972
   gu14    all  2748.552
   gu16    all  2122.487
   gu21    all   7126.26
   gu22    all  2556.575
   gu23    all   1653.32
   gu24    all  3093.953
   gu25    all  10194.44
a matrix=mo76   s201-   0.0 Segment H2W0L                           
   gu01    all    1391.3
   gu02    all  1724.298
   gu05    all  6073.623
   gu06    all  3832.892
   gu07    all  3458.253
   gu08    all  841.1486
   gu09    all  5754.608
   gu10    all  2005.362
   gu11    all  1776.394
   gu12    all  2424.925
   gu13    all  1220.958
   gu14    all   6152.84
   gu16    all  1159.744
   gu21    all  1715.968
   gu22    all  499.5493
   gu23    all  498.7459
   gu24    all  1769.124
   gu25    all  5494.845
a matrix=mo77   s211-   0.0 Segment H2W1L                           
   gu01    all  685.8085
   gu02    all  2082.792
   gu05    all   4416.16
   gu06    all  3118.232
   gu07    all  3160.503
   gu08    all  644.2612
   gu09    all  5956.294
   gu10    all  902.0947
   gu11    all  1451.672
   gu12    all  1927.488
   gu13    all  730.2193
   gu14    all  3351.217
   gu16    all  1475.939
   gu21    all   3286.93
   gu22    all  856.3675
   gu23    all  1007.668
   gu24    all   2523.29
   gu25    all  6619.888
a matrix=mo78   s221-   0.0 Segment H2W2L                           
   gu01    all  310.6132
   gu02    all  1181.285
   gu05    all  2554.299
   gu06    all  1751.987
   gu07    all    1574.8
   gu08    all  233.4036
   gu09    all  2335.491
   gu10    all  111.7341
   gu11    all  828.6082
   gu12    all  672.6572
   gu13    all  510.9322
   gu14    all  2303.016
   gu16    all  878.9848
   gu21    all  1132.842
   gu22    all  1086.424
   gu23    all  297.8325
   gu24    all  816.1923
   gu25    all  4580.531
a matrix=mo79   s301-   0.0 Segment H3W0L                           
   gu01    all  124.4405
   gu02    all  283.8394
   gu05    all  1130.079
   gu06    all  624.2297
   gu07    all  949.4715
   gu08    all  114.6174
   gu09    all  534.9415
   gu10    all  436.6407
   gu11    all  225.9926
   gu12    all    137.93
   gu13    all  184.9919
   gu14    all  397.6637
   gu16    all  218.1235
   gu21    all  169.4145
   gu22    all  46.64697
   gu23    all  127.9191
   gu24    all  468.3692
   gu25    all   988.867
a matrix=mo80   s311-   0.0 Segment H3W1L                           
   gu01    all  257.2479
   gu02    all  608.7424
   gu05    all   1859.43
   gu06    all  1508.595
   gu07    all   1770.78
   gu08    all  267.7508
   gu09    all   1668.28
   gu10    all  256.1862
   gu11    all  643.5443
   gu12    all  561.3951
   gu13    all  206.0147
   gu14    all  927.1272
   gu16    all   466.356
   gu21    all  778.1965
   gu22    all  272.2055
   gu23    all  235.7314
   gu24    all  863.1182
   gu25    all  2543.849
a matrix=mo81   s321-   0.0 Segment H3W2L                           
   gu01    all  146.2966
   gu02    all  553.5823
   gu05    all  1242.857
   gu06    all  1096.385
   gu07    all  1603.855
   gu08    all  200.1668
   gu09    all  1586.053
   gu10    all  85.46162
   gu11    all  450.7852
   gu12    all  133.7343
   gu13    all   178.465
   gu14    all  816.0722
   gu16    all  350.4356
   gu21    all   166.563
   gu22    all  223.0885
   gu23    all  167.6604
   gu24    all  613.8796
   gu25    all  1826.475
a matrix=mo82   s331-   0.0 Segment H3W3L                           
   gu01    all  67.93966
   gu02    all  137.4074
   gu05    all  420.5081
   gu06    all  298.4741
   gu07    all  299.6722
   gu08    all  13.89846
   gu09    all  649.8969
   gu10    all  4.662131
   gu11    all  117.1484
   gu12    all  55.09065
   gu13    all  96.88764
   gu14    all   415.779
   gu16    all  104.3747
   gu21    all     42.04
   gu22    all  65.89312
   gu23    all    27.163
   gu24    all  99.45588
   gu25    all  619.5353
a matrix=mo83   s401-   0.0 Segment H4+W0L                          
   gu01    all   104.302
   gu02    all  101.2898
   gu05    all  569.5506
   gu06    all  300.6773
   gu07    all  727.2329
   gu08    all  87.86852
   gu09    all  684.0922
   gu10    all  358.0182
   gu11    all  215.3235
   gu12    all  155.5693
   gu13    all   126.134
   gu14    all   271.156
   gu16    all  131.9152
   gu21    all  199.3695
   gu22    all  100.2132
   gu23    all  126.2078
   gu24    all  586.5035
   gu25    all  788.6568
a matrix=mo84   s411-   0.0 Segment H4+W1L                          
   gu01    all  675.1575
   gu02    all    937.77
   gu05    all  2735.276
   gu06    all  2208.226
   gu07    all   2579.11
   gu08    all  523.5317
   gu09    all  4579.991
   gu10    all  781.2063
   gu11    all  1034.614
   gu12    all  885.8751
   gu13    all   295.341
   gu14    all  1827.193
   gu16    all  430.1956
   gu21    all  639.1352
   gu22    all  329.8057
   gu23    all   266.404
   gu24    all  1238.013
   gu25    all  3288.819
a matrix=mo85   s421-   0.0 Segment H4+W2L                          
   gu01    all  199.6529
   gu02    all  564.0204
   gu05    all  1905.091
   gu06    all  1483.846
   gu07    all  1355.852
   gu08    all  154.2323
   gu09    all  3351.613
   gu10    all  251.0972
   gu11    all  571.3457
   gu12    all  486.6401
   gu13    all   335.538
   gu14    all  1947.358
   gu16    all  485.5042
   gu21    all  147.3432
   gu22    all  103.7521
   gu23    all  137.4238
   gu24    all  638.6254
   gu25    all  2115.929
a matrix=mo86   s431-   0.0 Segment H4+W3+L                         
   gu01    all  56.07529
   gu02    all  271.3672
   gu05    all  744.3179
   gu06    all   1007.63
   gu07    all  1024.758
   gu08    all   90.9312
   gu09    all  2396.049
   gu10    all  52.82223
   gu11    all   421.059
   gu12    all  132.9338
   gu13    all  238.1069
   gu14    all  975.4679
   gu16    all  155.5935
   gu21    all  33.78579
   gu22    all  94.92841
   gu23    all  74.26041
   gu24    all  345.0974
   gu25    all  1713.799
a matrix=mo87   s102-   0.0 Segment H1W0M                           
   gu01    all  1126.972
   gu02    all  3059.293
   gu05    all  3546.901
   gu06    all   2294.73
   gu07    all  2318.456
   gu08    all  797.2515
   gu09    all    4813.8
   gu10    all  2269.453
   gu11    all  1318.524
   gu12    all  1837.189
   gu13    all  1037.826
   gu14    all  4081.341
   gu16    all  2066.194
   gu21    all  1748.659
   gu23    all  1168.855
   gu24    all  2300.652
   gu25    all  4259.029
a matrix=mo88   s112-   0.0 Segment H1W1M                           
   gu01    all  803.3604
   gu02    all  2860.317
   gu05    all  5100.132
   gu06    all   4379.33
   gu07    all  3467.784
   gu08    all  732.0227
   gu09    all  6385.267
   gu10    all  1453.727
   gu11    all  1626.089
   gu12    all  2634.921
   gu13    all  664.6064
   gu14    all  3461.108
   gu16    all  2871.004
   gu21    all  6776.206
   gu22    all  1256.909
   gu23    all  1905.351
   gu24    all  3682.719
   gu25    all  10651.05
a matrix=mo89   s202-   0.0 Segment H2W0M                           
   gu01    all  1211.814
   gu02    all   1832.45
   gu05    all   1847.04
   gu06    all  2350.746
   gu07    all  1910.683
   gu08    all  570.8138
   gu09    all  3647.567
   gu10    all  1572.954
   gu11    all  1089.478
   gu12    all  1624.613
   gu13    all  748.8239
   gu14    all  3405.406
   gu16    all  699.3927
   gu21    all  788.0169
   gu23    all  874.6509
   gu24    all  1665.113
   gu25    all  1819.166
a matrix=mo90   s212-   0.0 Segment H2W1M                           
   gu01    all  292.8597
   gu02    all  1239.376
   gu05    all  1644.454
   gu06    all  2328.905
   gu07    all  1622.088
   gu08    all  417.7432
   gu09    all  4157.071
   gu10    all  826.2861
   gu11    all  1084.206
   gu12    all  1440.544
   gu13    all  545.3769
   gu14    all  2012.048
   gu16    all    741.97
   gu21    all      1470
   gu22    all  4.831539
   gu23    all  299.3483
   gu24    all  457.8551
   gu25    all  3138.894
a matrix=mo91   s222-   0.0 Segment H2W2M                           
   gu01    all  473.7175
   gu02    all   2378.22
   gu05    all  3899.463
   gu06    all  3608.987
   gu07    all   2637.58
   gu08    all  755.2445
   gu09    all  6776.289
   gu10    all  1340.459
   gu11    all  1706.882
   gu12    all  2796.623
   gu13    all  1052.489
   gu14    all  4763.423
   gu16    all  1932.227
   gu21    all  2359.902
   gu22    all  771.2942
   gu23    all  932.7139
   gu24    all  1896.178
   gu25    all  6200.121
a matrix=mo92   s302-   0.0 Segment H3W0M                           
   gu01    all  18.19269
   gu02    all  75.39031
   gu05    all  186.2055
   gu06    all  35.70966
   gu07    all  20.86751
   gu08    all   2.83006
   gu09    all  143.1534
   gu10    all  136.0028
   gu11    all  12.92812
   gu12    all    63.117
   gu13    all  10.58264
   gu14    all  156.1161
   gu16    all  35.94064
   gu21    all  138.8406
   gu22    all  4.100832
   gu23    all  17.76455
   gu24    all  65.04396
   gu25    all  137.9814
a matrix=mo93   s312-   0.0 Segment H3W1M                           
   gu01    all  319.0881
   gu02    all  909.5821
   gu05    all  2453.573
   gu06    all   1835.37
   gu07    all  1716.266
   gu08    all  351.1098
   gu09    all  3143.511
   gu10    all  774.7579
   gu11    all  782.9421
   gu12    all   1063.09
   gu13    all  250.6394
   gu14    all  1272.408
   gu16    all  615.3705
   gu21    all  915.4681
   gu22    all  174.9215
   gu23    all  240.7062
   gu24    all  881.3329
   gu25    all  3341.551
a matrix=mo94   s322-   0.0 Segment H3W2M                           
   gu01    all  224.4498
   gu02    all  1189.231
   gu05    all  2985.638
   gu06    all  3421.634
   gu07    all  2370.497
   gu08    all  493.0774
   gu09    all  4911.649
   gu10    all  991.7304
   gu11    all  1406.826
   gu12    all  1397.926
   gu13    all  556.9596
   gu14    all  2501.852
   gu16    all  841.8298
   gu21    all  655.7855
   gu22    all  191.4767
   gu23    all  239.2198
   gu24    all  875.8906
   gu25    all  3173.875
a matrix=mo95   s332-   0.0 Segment H3W3M                           
   gu01    all  49.74565
   gu02    all  209.2939
   gu05    all  1183.996
   gu06    all  1124.864
   gu07    all  881.0362
   gu08    all  204.3074
   gu09    all  2450.037
   gu10    all  331.4276
   gu11    all   441.499
   gu12    all  654.7777
   gu13    all  365.1419
   gu14    all  914.2395
   gu16    all  293.8807
   gu21    all   133.872
   gu22    all  50.19048
   gu23    all  70.96847
   gu24    all  259.8473
   gu25    all  879.0559
a matrix=mo96   s402-   0.0 Segment H4+W0M                          
   gu01    all  14.99276
   gu02    all  26.45223
   gu05    all  92.68811
   gu06    all  17.01265
   gu07    all  15.80941
   gu08    all  2.143135
   gu09    all  180.5243
   gu10    all  109.7153
   gu11    all  12.18324
   gu12    all  70.02901
   gu13    all  7.136803
   gu14    all    104.96
   gu16    all  21.46775
   gu21    all  160.4114
   gu22    all  7.624921
   gu23    all  17.28346
   gu24    all  80.31841
   gu25    all  108.7802
a matrix=mo97   s412-   0.0 Segment H4+W1M                          
   gu01    all  103.5675
   gu02    all   335.289
   gu05    all  1596.302
   gu06    all  1333.039
   gu07    all  963.4086
   gu08    all  242.7077
   gu09    all  3107.269
   gu10    all   681.435
   gu11    all  624.5651
   gu12    all  1028.783
   gu13    all  178.2884
   gu14    all  1639.363
   gu16    all  251.0613
   gu21    all  295.4455
   gu22    all  85.77888
   gu23    all   72.3289
   gu24    all  336.1214
   gu25    all  1254.726
a matrix=mo98   s422-   0.0 Segment H4+W2M                          
   gu01    all  337.8741
   gu02    all  1421.732
   gu05    all  3720.983
   gu06    all  4335.835
   gu07    all  3361.436
   gu08    all   1008.19
   gu09    all  8866.651
   gu10    all  2389.662
   gu11    all  1669.487
   gu12    all  2774.242
   gu13    all  980.4508
   gu14    all  4728.658
   gu16    all  948.2766
   gu21    all  546.5906
   gu22    all  105.5213
   gu23    all  276.9598
   gu24    all  1287.067
   gu25    all   5099.97
a matrix=mo99   s432-   0.0 Segment H4+W3+M                         
   gu01    all  208.0944
   gu02    all  1281.543
   gu05    all  1406.729
   gu06    all  1987.852
   gu07    all  2028.766
   gu08    all  519.0442
   gu09    all  7052.657
   gu10    all  607.4557
   gu11    all  830.6647
   gu12    all  1781.139
   gu13    all   469.737
   gu14    all  3062.342
   gu16    all  294.0652
   gu21    all  107.5075
   gu22    all  88.23647
   gu23    all  165.2959
   gu24    all  768.1507
   gu25    all   3268.93
a matrix=mo100   s103-   0.0 Segment H1W0H                           
   gu01    all  716.1528
   gu02    all  1078.015
   gu05    all   686.217
   gu06    all  361.9427
   gu07    all  564.2461
   gu08    all  416.5378
   gu09    all  804.8953
   gu10    all  944.1465
   gu11    all  207.9679
   gu12    all  825.0102
   gu13    all   163.694
   gu14    all  576.5883
   gu16    all  346.1308
   gu21    all  923.2506
   gu22    all  132.6238
   gu23    all  577.0251
   gu24    all  1027.938
   gu25    all  945.3039
a matrix=mo101   s113-   0.0 Segment H1W1H                           
   gu01    all  1298.098
   gu02    all  3093.949
   gu05    all  5149.532
   gu06    all  3732.332
   gu07    all  2582.622
   gu08    all  719.9621
   gu09    all  5655.422
   gu10    all  1685.084
   gu11    all  1385.852
   gu12    all  2427.432
   gu13    all  566.4181
   gu14    all  2334.176
   gu16    all  2795.452
   gu21    all  7315.078
   gu22    all  38.52004
   gu23    all  2372.052
   gu24    all  3869.038
   gu25    all  10216.18
a matrix=mo102   s203-   0.0 Segment H2W0H                           
   gu01    all  1207.622
   gu02    all  1166.062
   gu05    all  1120.158
   gu06    all  901.1901
   gu07    all  1057.206
   gu08    all   507.838
   gu09    all  1641.019
   gu10    all  1183.883
   gu11    all  417.6659
   gu12    all  1054.493
   gu13    all  287.0717
   gu14    all  1140.485
   gu16    all  226.7342
   gu21    all  867.9313
   gu22    all  52.80508
   gu23    all  519.3772
   gu24    all  1229.945
   gu25    all  984.2753
a matrix=mo103   s213-   0.0 Segment H2W1H                           
   gu01    all  667.5356
   gu02    all  1677.333
   gu05    all  1193.263
   gu06    all  1657.515
   gu07    all  1805.907
   gu08    all  634.7593
   gu09    all  4064.912
   gu10    all  1089.785
   gu11    all  771.6451
   gu12    all  1350.422
   gu13    all  388.1526
   gu14    all  1227.132
   gu16    all  449.1292
   gu21    all  2098.726
   gu22    all  50.41209
   gu23    all  757.4544
   gu24    all  2106.133
   gu25    all  3006.139
a matrix=mo104   s223-   0.0 Segment H2W2H                           
   gu01    all   1381.73
   gu02    all  4678.183
   gu05    all  5172.543
   gu06    all  5354.545
   gu07    all  3384.337
   gu08    all  1186.595
   gu09    all   8594.75
   gu10    all  2050.443
   gu11    all   2532.45
   gu12    all  3325.237
   gu13    all  1561.547
   gu14    all  4506.504
   gu16    all  2686.428
   gu21    all  3925.257
   gu22    all  725.0578
   gu23    all  1419.209
   gu24    all  3817.168
   gu25    all  9981.239
a matrix=mo105   s303-   0.0 Segment H3W0H                           
   gu01    all  69.65019
   gu02    all  124.9726
   gu05    all  95.43207
   gu06    all  29.43634
   gu07    all  73.03627
   gu08    all  24.05551
   gu09    all  75.34387
   gu10    all  143.1609
   gu11    all  10.65697
   gu12    all  27.41238
   gu13    all  8.723528
   gu14    all  11.30047
   gu16    all  18.41992
   gu21    all  6.290921
   gu22    all  .5126040
   gu23    all  34.48412
   gu24    all  126.2618
   gu25    all  22.99691
a matrix=mo106   s313-   0.0 Segment H3W1H                           
   gu01    all  356.3974
   gu02    all  688.8633
   gu05    all  654.7497
   gu06    all  645.9706
   gu07    all  1132.782
   gu08    all  326.2533
   gu09    all  1476.488
   gu10    all  518.8817
   gu11    all  275.5616
   gu12    all  507.8782
   gu13    all  88.21416
   gu14    all  352.6809
   gu16    all  164.2151
   gu21    all  735.9217
   gu22    all  4.516435
   gu23    all   234.239
   gu24    all  857.6539
   gu25    all    1327.1
a matrix=mo107   s323-   0.0 Segment H3W2H                           
   gu01    all  912.5572
   gu02    all  3113.172
   gu05    all  3091.039
   gu06    all  3095.764
   gu07    all  2441.067
   gu08    all  641.2008
   gu09    all  5130.254
   gu10    all  1270.655
   gu11    all  1272.842
   gu12    all   1690.53
   gu13    all  503.9158
   gu14    all  2448.793
   gu16    all  871.5487
   gu21    all  982.2346
   gu22    all  149.9299
   gu23    all  808.0502
   gu24    all  2958.633
   gu25    all  4356.593
a matrix=mo108   s333-   0.0 Segment H3W3H                           
   gu01    all  649.9944
   gu02    all  1205.924
   gu05    all   904.243
   gu06    all  1911.902
   gu07    all  1216.669
   gu08    all  337.7326
   gu09    all  3055.008
   gu10    all   496.517
   gu11    all  750.4043
   gu12    all  1717.032
   gu13    all  620.6221
   gu14    all  2058.564
   gu16    all  224.4429
   gu21    all  155.3724
   gu22    all  36.51743
   gu23    all  159.1196
   gu24    all   582.608
   gu25    all  1174.124
a matrix=mo109   s403-   0.0 Segment H4+W0H                          
   gu01    all   55.6499
   gu02    all  42.15027
   gu05    all  40.47639
   gu06    all  10.73965
   gu07    all  47.42823
   gu08    all  17.14508
   gu09    all  85.51154
   gu10    all  109.7153
   gu11    all  7.690966
   gu12    all  27.87981
   gu13    all  4.505279
   gu14    all  3.798768
   gu16    all   9.37485
   gu21    all  3.634151
   gu22    all  1.089274
   gu23    all  31.79737
   gu24    all  147.7663
   gu25    all  9.065021
a matrix=mo110   s413-   0.0 Segment H4+W1H                          
   gu01    all  1190.238
   gu02    all  1461.762
   gu05    all  1100.411
   gu06    all  1523.473
   gu07    all  1466.906
   gu08    all  495.7648
   gu09    all  2490.497
   gu10    all  769.3765
   gu11    all  713.7889
   gu12    all  692.8967
   gu13    all  203.7582
   gu14    all  688.5739
   gu16    all  173.0691
   gu21    all  424.5499
   gu22    all  4.282646
   gu23    all  409.9387
   gu24    all  1905.036
   gu25    all   1598.04
a matrix=mo111   s423-   0.0 Segment H4+W2H                          
   gu01    all  1825.229
   gu02    all  4689.045
   gu05    all  5386.011
   gu06    all  6109.531
   gu07    all  3698.926
   gu08    all  1361.839
   gu09    all  11981.11
   gu10    all  3881.245
   gu11    all  2352.438
   gu12    all  3297.609
   gu13    all  1381.532
   gu14    all  4502.845
   gu16    all  1372.602
   gu21    all  902.4172
   gu22    all  90.58818
   gu23    all   828.146
   gu24    all  3848.498
   gu25    all  7276.768
a matrix=mo112   s433-   0.0 Segment H4+W3+H                         
   gu01    all  546.0857
   gu02    all  2368.188
   gu05    all  2324.707
   gu06    all  4217.333
   gu07    all  3640.534
   gu08    all  1102.648
   gu09    all  8379.041
   gu10    all  875.2521
   gu11    all  1762.299
   gu12    all  2430.168
   gu13    all  996.5719
   gu14    all  3431.317
   gu16    all  485.9607
   gu21    all  124.9462
   gu22    all  60.17892
   gu23    all   271.879
   gu24    all  1263.456
