c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:45
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   gu10  21144.64
    all   gu11  22682.21
    all   gu12  35402.61
    all   gu13     13689
    all   gu14  64429.99
    all   gu16  11966.04
    all   gu21  2913.621
    all   gu22  2570.268
    all   gu23  4085.791
    all   gu24  32287.28
    all   gu25  73821.74
a matrix=md37     aSh   0.0 AttracSh                                
    all   gu01  13395.66
    all   gu02  32205.51
    all   gu05  75077.26
    all   gu06  46716.93
    all   gu07  51450.06
    all   gu08  9151.708
    all   gu09  78556.07
    all   gu10  21211.01
    all   gu11  16279.56
    all   gu12  43459.13
    all   gu13  8332.642
    all   gu14  63580.21
    all   gu16  13920.42
    all   gu21  33752.09
    all   gu22   6760.29
    all   gu23  11600.89
    all   gu24  28135.64
    all   gu25  72019.12
a matrix=md38     aPB   0.0 AttracPB                                
    all   gu01  7345.402
    all   gu02  26393.43
    all   gu05  41082.15
    all   gu06  29111.78
    all   gu07  30591.71
    all   gu08  8504.217
    all   gu09  57014.95
    all   gu10   15778.3
    all   gu11  16512.78
    all   gu12  27626.54
    all   gu13  9345.785
    all   gu14  47334.13
    all   gu16  11228.65
    all   gu21  31890.27
    all   gu22  5556.489
    all   gu23  7371.012
    all   gu24  28590.92
    all   gu25  60742.12
a matrix=md39     aSo   0.0 AttracSo                                
    all   gu01  27364.62
    all   gu02  52623.02
    all   gu05  78064.89
    all   gu06  68894.21
    all   gu07  78356.92
    all   gu08  22180.73
    all   gu09  113446.7
    all   gu10  38172.99
    all   gu11   31043.1
    all   gu12   61100.3
    all   gu13  15885.73
    all   gu14   90451.2
    all   gu16  18420.46
    all   gu21  80632.79
    all   gu22  11833.08
    all   gu23   16938.2
    all   gu24  48344.93
    all   gu25  120683.6
a matrix=md40     aEc   0.0 AttracEc                                
    all   gu01  14775.18
    all   gu02  39306.43
    all   gu05   61751.2
    all   gu06  63478.68
    all   gu07  63315.69
    all   gu08  13180.22
    all   gu09  116890.5
    all   gu10  28378.01
    all   gu11  28641.97
    all   gu12   41402.6
    all   gu13   13617.6
    all   gu14  70474.22
    all   gu16  15858.62
    all   gu21  15650.34
    all   gu22  4513.746
    all   gu23   7171.59
    all   gu24  37893.01
    all   gu25  84408.89
a matrix=md41     aNo   0.0 AttracNo                                
    all   gu01  19021.92
    all   gu02  43864.46
    all   gu05  73173.06
    all   gu06  64774.89
    all   gu07   67495.2
    all   gu08  15616.34
    all   gu09  104399.7
    all   gu10  35072.08
    all   gu11  31526.24
    all   gu12  58630.38
    all   gu13     12784
    all   gu14  93977.24
    all   gu16  17062.18
    all   gu21  44903.98
    all   gu22   8434.67
    all   gu23  13662.03
    all   gu24   40321.2
    all   gu25  99626.71
c ------Data Sources:
c C:\proj\rtm-streamline\WorkingModels\RTM_R2015_01 2011_BC\Database\03_TRIP_ATTRACTIONS/Inputs/32_COEFFICIENTS.csv
